dch_wc,ch_rsst,dch_rec,dch_inv,soft_assets,ch_cs,ch_cm,ch_roa,issue,bm,dpi,reoa,ebit,ch_fcf,misstate
0.050414153,0.589630842,0.142499233,0.050874323,0.472619048,3.438497864,-0.117947094,0.065503533,1.0,0.069048567,2.002436816,0.257380952,0.307482993,-0.36951631,1
0.181049632,0.561719307,0.147613394,0.006672999,0.82978355,0.729153238,-0.121237911,-0.135321989,1.0,0.428155094,0.848341042,0.04017316,0.02791342,-0.61484208,1
0.006090765,0.047559806,0.07259674,0.003861804,0.632233817,-0.014810554,-0.462208193,0.045816243,1.0,0.818494033,1.435132322,0.046338446,0.083852744,0.001995698,1
-0.537156304,0.35100322,-0.013500124,-0.002105524,0.69001004,6.567314073399985,-0.773576813,-0.453639587,1.0,0.632746798,3.8279074348999846,-0.483099063,-0.411730254,-0.789076047,1
0.140624188,0.116521003,0.021786428,0.131535371,0.755553726,0.0227911,0.877132016,-0.044666905,1.0,0.600822695,0.93924273,0.01507979,0.037404465,-0.141129122,1
0.140057089,-0.04338725,-0.047193149,0.022835395,0.688721805,-0.117069486,0.528609938,0.085981709,1.0,0.028119018,1.168713757,-0.892481203,0.056015038,0.138154139,1
0.181379427,0.07441495,0.069723329,0.126539088,0.75098201,0.274444754,-0.069068516,-0.011073526,1.0,0.877936551,1.043454495,0.283957891,0.111242046,-0.066154105,1
0.028052099,0.03433093,0.202029505,0.121341145,0.821082234,0.197736288,-0.989054148,-0.01386289,1.0,0.763175114,0.73215157,0.11335027,0.065716108,-0.033836952,1
0.025804835,0.583191663,-0.00214742,0.02578694,0.901547777,0.332899852,0.087209051,0.012703076,1.0,0.305201615,0.927858308,0.143969928,0.11268312,-0.546166556,1
0.257492423,1.4031111188999967,0.074119804,0.268206186,0.481190329,0.084219888,-0.023506388,-0.0033585050000000003,1.0,0.149087266,1.005729325,-1.948096714,-0.525133292,-1.470941631,1
-0.030651341,0.279034962,0.294839559,0.031130268,0.555671393,1.8734582,-0.218629273,0.590571958,1.0,0.23405318,0.686585217,-0.056922435,0.09146511,-0.091654693,1
0.118355065,0.242265257,0.153228918,0.027158398,0.788786482,0.16562211,0.281184931,0.064966156,1.0,0.251046743,0.81741168,-0.541346646,-0.159114183,-0.210631896,1
0.251335395,0.376347109,0.146752882,0.0,0.939044756,-1.9616030167999998,-0.292108844,-0.185113577,1.0,0.256876071,2.134787879,-2.970774883,-0.325150301,-0.588323494,1
-0.167536517,0.254034238,0.265523109,0.011557393,0.31126682,0.084219888,-0.023506388,-0.0033585050000000003,1.0,0.292412056,1.606510121,-0.217684628,-0.212376759,-0.66763359,1
0.060202319,0.054774241,0.006908463,0.119170985,0.666592969,0.15576324,-0.044432552,-0.068839209,1.0,0.264332503,0.978089245,0.009949149,0.075171347,-0.068097705,1
0.40177516,0.61454553,0.143464466,0.165529541,0.958850425,0.084219888,-0.023506388,-0.0033585050000000003,1.0,0.514174387,1.063387796,0.190652442,0.147615937,-0.581240538,1
-0.301076866,-0.253949393,-0.128014429,-0.16552968,0.278691671,0.336962157,-0.4127243,-0.376190976,1.0,0.171580468,0.750999649,-0.205482082,-0.288231568,-0.113245982,1
-0.137479794,0.394272958,0.010930644,-0.093757217,0.439088427,-0.110955056,-10.412837491,0.188274098,1.0,0.123976389,3.8279074348999846,-0.077294686,-0.074879227,-0.322838888,1
0.027746893,0.296851923,0.049751904,0.048955343,0.462091364,0.679579851,-1.695815641,0.098527988,1.0,0.077038127,0.762038557,-1.002928336,-0.272148866,-0.328349292,1
0.141615047,0.528003613,0.085865918,0.082333204,0.444540619,0.315941707,-1.04154992,0.274192068,1.0,0.309157438,0.5709096,-0.473204877,0.014212956,-0.354690928,1
0.237066024,0.310142422,0.29612777,-0.006097284,0.425926984,1.063209076,-0.306523859,-0.022345487,1.0,0.412522625,0.329809152,0.040450209,0.045992116,-0.277289894,1
-0.007050314,-0.417799753,0.01638969,0.022432816,0.273707865,0.602931804,1.817955375,-0.117791446,1.0,0.566501767,1.70777757,-0.182696629,-0.01011236,0.258755665,1
0.032547988,-0.120430544,0.091955323,-0.000732159,0.862930415,-0.08199446,-0.409981701,-0.151399186,0.0,0.464573254,0.833408942,0.069291419,-0.108689403,-0.03008042,1
-0.054753107,0.603627813,0.003023178,0.003443064,0.596117221,-0.168885191,0.031317031,0.004105391,1.0,0.496731264,0.21436851010000002,0.034465811,0.04841187,-0.709774941,1
0.034620415,0.104516909,0.058203823,0.0,0.556678131,0.17351802,0.051706166,-0.049802937,1.0,0.380528343,1.068772854,0.457766699,0.135064525,-0.127922741,1
-0.5838447201,-0.070875607,-0.2984836963,-0.222021888,0.873108517,-0.783084731,2.016023611,-0.119956691,0.0,0.303354672,0.762802441,-3.05793342,-0.233895374,0.055488772,1
-0.002089209,-0.431839549,0.030920297,0.001671367,0.408296943,-0.033061594,-0.613032048,0.428288111,1.0,0.252722807,1.10845987,-3.832150655,-1.359716157,0.753159929,1
0.148069833,0.078833225,0.213348514,0.04039254,0.817174645,0.280704587,-0.063539226,-0.095162077,1.0,0.591164167,1.62853991,0.089145475,0.02552356,-0.133105617,1
-0.274075281,-0.0290044,-0.229753951,-0.003258921,0.832244009,0.004425504,-0.787425294,-0.110385849,1.0,0.290860429,0.814545455,-0.595860566,-0.181190995,-0.053120417,1
0.064110651,0.062285998,0.044354839,0.002162552,0.965797442,0.01916439,-0.156406734,0.005246756,1.0,0.92650525,1.094439411,-0.343942662,0.066509814,-0.054604433,1
0.006801576,0.033456051,0.008401052499999999,0.0,0.387661085,0.084219888,-0.023506388,-0.0033585050000000003,1.0,0.114056025,0.965401612,-0.144306792,-0.126377389,-0.035267145,1
0.141595107,0.366219806,-0.053746834,0.165688516,0.854992699,0.084219888,-0.023506388,-0.0033585050000000003,1.0,0.175987133,1.051756885,0.511176008,0.295069078,-0.281954655,1
0.155748534,0.429748386,0.066176798,0.085623098,0.697128879,0.043907653,-0.086906821,-0.018743332,1.0,0.337959184,1.036854787,0.18380327,0.142938071,-0.434053292,1
0.006327975,0.002835949,-0.006370303,0.014454874,0.709305799,0.165357871,0.04607271,0.092700844,0.0,0.782812693,0.980017302,0.194201476,0.026688569,0.007703622,1
0.294093659,0.656018487,0.065384354,0.268206186,0.570699083,0.084219888,-0.023506388,-0.0033585050000000003,1.0,0.169474465,1.037255825,0.017669122,0.062994261,-0.63576429,1
0.050436233,0.151439581,0.049085454,0.007927277,0.567226051,0.077909726,0.004414977,-0.022712292,1.0,0.305903942,0.92494009,0.357589867,0.108088289,-0.158222207,1
-0.028478009,0.082987027,0.02717013,-0.004261154,0.468407098,1.128006873,0.88895275,0.077820204,1.0,2.996904648,0.21436851010000002,-0.286640832,0.023047114,-0.054677777,1
0.204074531,0.361039398,0.152890336,0.105814345,0.793604177,0.980091263,0.194721533,-0.029233683,1.0,0.555065992,1.025379097,0.070611483,0.058963761,-0.3595802,1
-0.106866723,-0.25338743,-0.054198882,0.0,0.623003195,0.10079768,0.022997033,-0.45724256,1.0,0.336937962,0.805115103,-0.644249201,-0.282108626,-0.182347087,1
0.092335746,0.260231352,0.123608183,-0.056253918,0.79279975,6.567314073399985,0.494095191,-0.095955817,1.0,0.334843264,0.26371985,0.08819785,0.046874674,-0.292301556,1
0.022380142,0.081948708,-0.003018945,0.062293531,0.763910864,0.052658492,0.062332588,0.019500623,1.0,0.70040841,0.972040887,0.039865734,0.080541056,-0.073543906,1
0.006801576,0.033456051,0.008401052499999999,0.0,0.621059924,0.084219888,-0.023506388,-0.0033585050000000003,1.0,0.090375033,0.965401612,-0.062175268,-0.117769311,-0.035267145,1
0.4722610272999997,0.860152085,0.35771482319999914,0.268206186,0.628947493,-1.9616030167999998,-0.928253625,0.363711516,1.0,0.288516331,1.865026312,0.141375882,0.211306283,-0.617865571,1
-0.00617176,-0.781489384,-0.136548245,0.268206186,0.556995595,3.10117924,-1.046910125,-0.843907408,1.0,-0.011945969,0.808801025,-0.589797961,-0.529101427,-0.014333407,1
0.064833105,0.871903966,-0.23106924,0.0,0.885592215,2.596317025,-1.162146506,0.323284708,1.0,-0.123551665,0.984714874,-0.262520769,0.225314503,-0.552398318,1
-0.028688525,0.494783905,0.013412817,-0.005774963,0.082054595,-0.102603369,-0.570256661,-0.234621924,1.0,0.114260819,2.461890244,-0.225488613,-0.213051203,-0.736959762,1
0.174711094,0.193994276,0.148267542,0.044075843,0.900041209,0.059042141,-0.195663967,0.017133634,1.0,0.650200781,1.017188455,0.149732141,0.173982764,-0.166183122,1
-0.001157277,0.131816642,-0.044882451,-0.222021888,0.9661832814999999,1.962382445,-1.381298181,0.069484004,0.0,4.292512083,1.597972412,-0.236208349,-0.024344188,-0.174297166,1
0.137622805,0.288375413,0.134208479,0.077742188,0.830300888,0.37668631,-0.01935098,-0.006610057,1.0,0.669576096,0.806199434,0.145645244,0.101792274,-0.267991807,1
-0.013859858,-0.033302939,-0.007491057,-0.009539174,0.654594463,-0.948732719,5.894227044,0.475030805,1.0,-0.114702719,3.8279074348999846,-0.058755215,-0.038295554,0.004657361,1
0.086302505,0.068583084,0.16903563,0.0,0.886381437,1.070765661,1.367579681,-0.038228342,1.0,0.407197802,0.355810212,0.089240259,0.087575876,-0.063037797,1
-0.050974366,-0.012261313,-0.065508109,-0.025797803,0.521666029,-0.026459978,0.32399687,0.001497079,1.0,0.576515611,1.013227254,0.301143647,0.093206373,0.014942454,1
0.237041955,-0.035423497,0.028302278,0.070282608,0.600870185,0.106872327,0.213368354,0.023001907,1.0,-0.08198845,0.997256804,-0.274835949,-0.008544936,0.032452173,1
0.005060089,0.399977,0.060261055,0.0,0.949442245,6.567314073399985,-0.97529576,0.147868377,1.0,1.872286143,0.577540107,-0.330424613,-0.059643757,-0.337415905,1
-0.000450688,0.154678669,0.024176645,0.025849748,0.427183114,0.214154701,0.101774151,0.019140727,1.0,0.438258881,1.065787494,0.381133345,0.158641657,-0.124192388,1
0.369292569,0.154378806,0.114706539,0.268206186,0.9661832814999999,0.084219888,-0.023506388,-0.0033585050000000003,1.0,0.672581558,0.61578545,0.040637812,0.11433322,-0.15649568,1
0.211523616,0.173345498,0.034528739,0.178959927,0.771799117,-0.050485437,0.716136293,-0.414874153,1.0,0.071718045,0.897168923,-0.416804636,-0.273592715,-0.545582146,1
0.062310194,0.030917696,0.072922351,0.045513265,0.827909304,0.04763274,-0.343228106,0.004285085,0.0,0.726718847,1.075289558,0.562632189,0.158445339,-0.016858592,1
-0.001427132,0.049949631,0.042478173,0.0,0.232057245,2.422100548,0.068349673,0.082966275,1.0,0.367191679,1.008277901,0.269838998,0.318282648,0.110644728,1
0.203992081,0.788328899,0.16697139,0.051470866,0.618813268,2.326790158,0.402971832,0.215426474,1.0,0.213760088,0.865953759,-0.230883744,-0.016620547,-0.731007351,1
0.4722610272999997,1.019732767,0.032917441,0.142996195,0.486769845,0.084219888,-0.023506388,-0.0033585050000000003,1.0,0.396400218,1.055819477,-0.22353969,0.053669496,-0.849482347,1
0.071529961,0.054078374,0.064888979,0.040365508,0.358561363,0.273429839,0.272095849,-0.001919657,1.0,0.206075002,1.132403843,0.143618552,0.115711377,-0.039364291,1
0.201579998,1.01949822,0.257522354,0.0,0.54354151,0.957388774,0.469464605,-1.1859958160999997,1.0,0.095868631,1.121535469,-1.853498871,-1.680837723,-1.499947705,1
-0.215079892,0.423284639,0.129812962,0.0,0.669058022,2.582865829,-0.439509642,-0.190041165,1.0,0.131893828,0.575572574,-0.083574437,-0.042867265,-0.566977677,1
